monster,game,input,value,unit,source
abyssal-lagiacrus,MH3U,hitzone_max_raw,45,"raw hitzone % (max of cut/impact/shot, sentinels excluded)",https://raw.githubusercontent.com/dbooga/MonsterHunter3UDatabase/master/MonsterHunter3UDatabase/assets/mh3u.sqlite
acidic-glavenus,MHWorld,base_hp,2990,HP,https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,enrage_attack_mult,1,"multiplier (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,enrage_duration,130,"seconds (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,enrage_speed_mult,1.1,"multiplier (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,enrage_trigger,370,"damage points (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,head_stagger,350,"damage (Part Breakability, exact ""Head"" row)",https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,hitzone_max_raw,65,"raw hitzone % (max sever/blunt/shot over LR/HR Physiology rows, including state-variant parts e.g. ""Head (White)"", excluding Master Rank override rows)",https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,move_power_max,100,motion value (max over Monster Attacks rows; poedb only lists a subset so is not used here),https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,size_base,2372.44,cm (poedb Base; never derived as gold/1.23 — crown thresholds are per-monster),https://mhw.poedb.tw/eng/monster/67/Acidic%20Glavenus
acidic-glavenus,MHWorld,size_gold,2846.93,cm (gold crown threshold),https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,tolerance_paralysis,180,status build-up points,https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,tolerance_poison,150,status build-up points,https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,tolerance_sleep,150,status build-up points,https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
acidic-glavenus,MHWorld,tolerance_stun,150,status build-up points,https://mhworld.kiranico.com/en/monsters/KpViL/acidic-glavenus
agnaktor,MHGU,base_hp,4600,HP,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
agnaktor,MHGU,head_stagger,200,stagger threshold (raw),https://mhgu.kiranico.com/monster/677b6
agnaktor,MHGU,hitzone_max_raw,60,raw hitzone percent (max over all Kiranico GU states),https://mhgu.kiranico.com/monster/677b6
agnaktor,MHGU,size_base,2737.31,cm,https://mhgu.kiranico.com/monster/677b6
agnaktor,MHGU,size_gold,3366.89,cm,https://mhgu.kiranico.com/monster/677b6
agnaktor,MHGU,tolerance_paralysis,180,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
agnaktor,MHGU,tolerance_poison,180,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
